NWS ID,River,Location,Forecast Condition,Point Type,Observed Date (Day,Latest Flow,Latest Stage,Flood Stage,Bankfull Stage,HUC,State,HSA,Elevation,Forecast Group,Segment
tnra3,Tonto Ck , Roosevelt  Nr  Gun Ck  Abv,4,1,20.15,20,2.06,16,16,15060105,AZ,PSR,2523,SALT,11
sbca3,Sabino Ck , Tucson  Nr,3,1,20.15,0,0.75,3,2.5,15050302,AZ,TWC,2720,SANTACRZ,3
fwnn2,Flamingo Wash , Nellis Blvd,2,1,20.16,471,12.17,,17.1,15010015,NV,VEF,1730,MUDLV,15
lpfn5,La Plata , Farmington  Nr,2,1,20.16,34,2.71,,14.5,14080105,NM,ABQ,5215,SANJUAN,22
lvcn2,Las Vegas Wash , Craig Rd,2,1,,,,,9,15010015,NV,VEF,1930,MUDLV,11
lwcn2,Las Vegas Wash , Flamingo Wash  Blo,2,1,20.15,749,17.18,,19.4,15010015,NV,VEF,1710,MUDLV,16
sahn2,Las Vegas Wash , Sahara Ave,2,1,,,,,14.7,15010015,NV,VEF,1715,MUDLV,12
frmn5,San Juan , Farmington,2,1,20.15,1649,2.7,8.5,7,14080105,NM,ABQ,5230,SANJUAN,19
srsu1,Santa Clara , St. George,2,1,20.15,143,8.16,13.9,12.9,15010008,UT,SLC,2560,VIRGIN,10
huru1,Virgin , Hurricane  Nr,2,1,20.15,170,8.19,19.6,18,15010008,UT,SLC,2800,VIRGIN,5
viru1,Virgin , Virgin,2,1,20.16,820,9.49,18.9,17,15010008,UT,SLC,3500,VIRGIN,4
vrbu1,Virgin , Bloomington  Nr,2,1,20.16,323,7.93,16,15,15010010,UT,SLC,2530,VIRGIN,12
maoa3,Acdc , 14th Street,1,1,20.13,0,0.4,,10,15060106,AZ,PSR,1230,AGUAFRIA,6
mhfa3,Acdc , 43rd Avenue,1,1,20.16,743,2.07,,4,15060106,AZ,PSR,1225,AGUAFRIA,7
msxa3,Acdc , 67th Ave,1,1,20.16,107,2.13,,6,15070102,AZ,PSR,1220,AGUAFRIA,8
acha3,Agua Caliente Wash , Houghton Rd,1,1,19.22,0,2.3,,4.1,15050302,AZ,TWC,2588,SANTACRZ,2
afha3,Agua Fria , Humboldt  Nr,1,1,20.15,3,0.78,,15.5,15070102,AZ,FGZ,4400,AGUAFRIA,17
afma3,Agua Fria , Mayer  Nr,1,1,20.15,0,2.2,,15.1,15070102,AZ,FGZ,3434,AGUAFRIA,18
afra3,Agua Fria , Rock Spgs  Nr,1,1,20.15,1,2.77,16,15,15070102,AZ,PSR,1800,AGUAFRIA,19
avoa3,Agua Fria , Buckeye,1,1,20.13,1,1.28,,8,15070102,AZ,PSR,970,AGUAFRIA,26
mafa3,Agua Fria , Grand Ave,1,1,20.15,427,3.68,,14,15070102,AZ,PSR,1115,AGUAFRIA,24
atpa3,Altar Wash , Three Points  Nr,1,1,20.15,0,1.35,,14,15050304,AZ,TWC,2975,SANTACRZ,24
afpu1,American Fork , American Fork  Nr  Up Pwrplnt  Abv,1,1,20.15,e21,e6.11,8.5,8.2,16020201,UT,SLC,5950,PROVO,11
arfn5,Animas , Farmington,1,1,20.15,332,4.68,10,9,14080104,NM,ABQ,5280,SANJUAN,18
cdrc2,Animas , Cedar Hill  Nr,1,1,20.15,237,3.87,10.5,9.5,14080104,CO,ABQ,5960,SANJUAN,17
dgoc2,Animas , Durango Pump Plant  Blo,1,1,20.15,291,3.34,,,14080104,CO,GJT,6437,SANJUAN,13
drgc2,Animas , Durango,1,1,20.15,211,2.3,8,7,14080104,CO,GJT,6502,SANJUAN,12
acsc2,Anthracite Ck , Mouth  Abv  Somerset  Nr,1,1,20.12,43,0.95,,,14020004,CO,GJT,6280,GUN,24
arva3,Aravaipa Ck , Mammoth,1,1,20.15,10,0.48,11.5,8,15050203,AZ,TWC,2345,SANPEDRO,8
avca3,Arivaca Ck , Arivaca,1,1,,,,,4,15050304,AZ,TWC,3580,SANTACRZ,23
acju1,Ashley Ck , Jensen  Nr  Union Canal  Blo,1,1,20.12,41,,,10.2,14060002,UT,GJT,4740,DUCHPR,4
ashu1,Ashley Ck , Vernal  Nr,1,1,20.12,26,1.71,,4.2,14060002,UT,GJT,6231,DUCHPR,3
baba3,Babocomari , Tombstone  Nr,1,1,20.15,0,0.25,,4,15050202,AZ,TWC,3980,SANPEDRO,4
bcnu1,Bear , Corinne  Nr,1,1,20.15,1129,5.63,15.5,13.4,16010204,UT,SLC,4205,BEAR,31
beai1,Bear , Alexander  At,1,1,19.12,300,,,7,16010201,ID,PIH,5630,BEAR,18
beaw4,Bear , Woodruff Narrows Rsvr  Abv,1,1,20.14,e54,e1.06,,5.5,16010101,WY,SLC,6455,BEAR,3
beru1,Bear , Utah,1,1,20.15,e57,e4.13,8,7,16010101,UT,SLC,7965,BEAR,1
besi1,Bear , Soda Springs  At,1,1,19.12,169,,,7,16010201,ID,PIH,5760,BEAR,16
biui1,Bear , Id/ut Stateline,1,1,20.15,545,9.77,18.1,15.8,16010202,ID,PIH,4420,BEAR,21
brai1,Bear , Pescadero,1,1,20.14,e149,e2.56,6.2,6,16010201,ID,PIH,5950,BEAR,15
brbw4,Bear , Border,1,1,20.15,e180,e1.76,7.5,7,16010102,WY,PIH,6052,BEAR,9
brwu1,Bear , Woodruff  Nr  Woodruff Narrows Res  Blo,1,1,20.16,18,2.52,8.2,8,16010101,UT,SLC,6400,BEAR,5
cokw4,Bear , Smiths Fork  Blo  Cokeville  Nr,1,1,20.15,e178,e2.74,6,5.5,16010102,WY,RIW,6140,BEAR,8
evaw4,Bear , Evanston,1,1,20.15,e46,e0.81,7,5.5,16010101,WY,SLC,6730,BEAR,2
pixw4,Bear , Pixley Dam  Blo  Cokeville  Nr,1,1,19.12,90,2.3,8.5,7.5,16010102,WY,RIW,6185,BEAR,6
stdi1,Bear , Montpelier  Nr  Stewart Dam  Blo,1,1,19.12,185,,,,16010201,ID,PIH,5950,BEAR,11
blzi1,Bear Lake Outlet Canal Nr Paris,,1,1,19.12,97,,,,16010201,ID,PIH,5912,BEAR,14
bboi1,Bear R Blo Ut P&l @ Oneida,,1,1,19.12,451,,,,16010202,ID,PIH,4800,BEAR,20
bevu1,Beaver , Beaver  Nr,1,1,20.15,,,,3.2,16030007,UT,SLC,6200,SEV_H,14
bdwu1,Beaver Dam Wash , Enterprise  Nr,1,1,20.15,5,4.38,,7.4,15010010,UT,SLC,4740,VIRGIN,13
beaa3,Beaver Dam Wash , Beaver Dam,1,1,,,,,8.9,15010010,AZ,VEF,1850,VIRGIN,14
ypca3,Big Chino Wash , Sr 89,1,1,20.08,0,,,,15060202,AZ,FGZ,4375,VERDE,3
bctu1,Big Cottonwood Ck , Salt Lake City  Nr,1,1,20.12,26,,4.2,3.7,16020204,UT,SLC,4990,SIXCKS,4
bcwu1,Big Cottonwood Ck , 300 West,1,1,20.15,14,,,M,16020204,UT,SLC,4248,SIXCKS,6
bigu1,Big Cottonwood Ck , Cottonwood Ln,1,1,20.15,e1,,4.2,3.9,16020204,UT,SLC,4403,SIXCKS,5
bsrw4,Big Sandy , Farson  Nr,1,1,20.12,22,3.59,,7.5,14040104,WY,RIW,6794,GREEN,8
wkpa3,Big Sandy , Wikieup  Nr,1,1,20.16,4,5.52,16,12,15030201,AZ,VEF,1400,BILLPAR,5
bwca3,Big Wash , Canada Del Oro,1,1,19.21,0,0.8,,,15050301,AZ,TWC,2628,SANTACRZ,19
bwaa3,Bill Williams , Alamo Dam  Blo,1,1,20.15,19,12.27,,23.2,15030204,AZ,VEF,967,BILLPAR,8
bwpa3,Bill Williams , Parker  Nr,1,1,20.15,0,5.65,,13.5,15030204,AZ,PSR,500,BILLPAR,9
bppa3,Black , Point Of Pines  Nr  Pumping Plant  Blo,1,1,20.15,28,2.8,,10.9,15060101,AZ,TWC,5725,SALT,1
bnru1,Blacks Fork , Robertson  Nr,1,1,20.15,e37,e1.86,5,4.8,14040107,UT,SLC,8811,GREEN,15
ltaw4,Blacks Fork , Little America  Nr,1,1,20.15,e106,e3.79,10.5,9.5,14040107,WY,RIW,6128,GREEN,20
